,Overlap,Name,Brier,RelTotTime,AvgCommVals,net,nr_clients
108,0.1,CCBNet,0.029,1.07,146,alarm,4
109,0.1,CCBNetJ,0.029,0.99,100,alarm,4
110,0.3,CC,0.022,1.04,0,alarm,4
111,0.3,CU,0.009,1.09,0,alarm,4
112,0.3,DOM,0.017,1.38,7,alarm,4
113,0.3,CCBNet,0.009,1.33,417,alarm,4
114,0.3,CCBNetJ,0.009,1.06,205,alarm,4
115,0.5,CC,0.02,1.07,0,alarm,4
116,0.5,CU,0.011,1.09,0,alarm,4
117,0.5,DOM,0.012,1.44,7,alarm,4
118,0.5,CCBNet,0.011,1.44,1038,alarm,4
119,0.5,CCBNetJ,0.011,1.1,484,alarm,4
120,0.1,CC,0.04,0.98,0,alarm,8
121,0.1,CU,0.038,0.98,0,alarm,8
122,0.1,DOM,0.074,1.12,6,alarm,8
123,0.1,CCBNet,0.038,1.06,205,alarm,8
124,0.1,CCBNetJ,0.038,0.98,136,alarm,8
125,0.3,CC,0.029,1.04,0,alarm,8
126,0.3,CU,0.026,1.04,0,alarm,8
127,0.3,DOM,0.041,1.36,6,alarm,8
128,0.3,CCBNet,0.026,1.34,437,alarm,8
129,0.3,CCBNetJ,0.026,1.13,227,alarm,8
130,0.5,CC,0.039,1.09,0,alarm,8
131,0.5,CU,0.017,1.2,0,alarm,8
132,0.5,DOM,0.022,1.79,8,alarm,8
133,0.5,CCBNet,0.017,1.89,2070,alarm,8
134,0.5,CCBNetJ,0.017,1.24,768,alarm,8
135,0.1,CC,0.007,1.05,0,insurance,2
136,0.1,CU,0.009,1.0,0,insurance,2
137,0.1,DOM,0.022,1.18,8,insurance,2
138,0.1,CCBNet,0.009,1.09,173,insurance,2
139,0.1,CCBNetJ,0.009,0.99,117,insurance,2
140,0.3,CC,0.015,1.06,0,insurance,2
141,0.3,CU,0.011,1.04,0,insurance,2
142,0.3,DOM,0.017,1.36,7,insurance,2
143,0.3,CCBNet,0.011,1.31,417,insurance,2
144,0.3,CCBNetJ,0.011,1.07,254,insurance,2
145,0.5,CC,0.013,1.08,0,insurance,2
146,0.5,CU,0.008,1.08,0,insurance,2
147,0.5,DOM,0.01,1.56,7,insurance,2
148,0.5,CCBNet,0.008,1.49,633,insurance,2
149,0.5,CCBNetJ,0.008,1.11,359,insurance,2
150,0.1,CC,0.111,1.03,0,insurance,4
151,0.1,CU,0.108,1.02,0,insurance,4
152,0.1,DOM,0.117,1.18,9,insurance,4
153,0.1,CCBNet,0.108,1.19,807,insurance,4
154,0.1,CCBNetJ,0.108,1.06,432,insurance,4
155,0.3,CC,0.123,1.0,0,insurance,4
156,0.3,CU,0.114,1.0,0,insurance,4
157,0.3,DOM,0.116,1.28,8,insurance,4
158,0.3,CCBNet,0.114,1.27,675,insurance,4
159,0.3,CCBNetJ,0.114,1.09,367,insurance,4
160,0.5,CC,0.086,1.01,0,insurance,4
161,0.5,CU,0.032,1.08,0,insurance,4
162,0.5,DOM,0.037,1.66,8,insurance,4
163,0.5,CCBNet,0.032,1.65,979,insurance,4
164,0.5,CCBNetJ,0.032,1.2,482,insurance,4
165,0.1,CC,0.154,0.97,0,insurance,8
166,0.1,CU,0.153,0.96,0,insurance,8
167,0.1,DOM,0.166,1.2,9,insurance,8
168,0.1,CCBNet,0.153,1.17,509,insurance,8
169,0.1,CCBNetJ,0.153,1.02,274,insurance,8
170,0.3,CC,0.189,0.97,0,insurance,8
171,0.3,CU,0.131,0.98,0,insurance,8
172,0.3,DOM,0.135,1.34,8,insurance,8
173,0.3,CCBNet,0.131,1.31,526,insurance,8
174,0.3,CCBNetJ,0.131,1.05,279,insurance,8
175,0.5,CC,0.091,1.01,0,insurance,8
176,0.5,CU,0.077,1.04,0,insurance,8
177,0.5,DOM,0.085,1.8,9,insurance,8
178,0.5,CCBNet,0.077,1.73,786,insurance,8
179,0.5,CCBNetJ,0.077,1.13,361,insurance,8
180,0.1,CC,0.015,1.06,0,win95pts,2
181,0.1,CU,0.001,1.07,0,win95pts,2
182,0.1,DOM,0.007,1.03,4,win95pts,2
183,0.1,CCBNet,0.001,1.01,262,win95pts,2
184,0.1,CCBNetJ,0.001,0.92,175,win95pts,2
185,0.3,CC,0.01,1.05,0,win95pts,2
186,0.3,CU,0.005,1.06,0,win95pts,2
187,0.3,DOM,0.007,1.13,4,win95pts,2
188,0.3,CCBNet,0.005,1.11,440,win95pts,2
189,0.3,CCBNetJ,0.005,0.96,274,win95pts,2
190,0.5,CC,0.01,1.08,0,win95pts,2
191,0.5,CU,0.005,1.08,0,win95pts,2
192,0.5,DOM,0.007,1.13,4,win95pts,2
193,0.5,CCBNet,0.005,1.13,440,win95pts,2
